web_scraper_order,web_scraper_start_url,title,review,rating,likes,dislikes
"1768461327-11","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Fantastic movie","Go n watch
I really liked Haq! The film is brilliantly directed, with a well-written script and impressive screenplay. Every scene is crafted with depth and emotion. The story flows smoothly, keeping you engaged throughout. Strong performances and thoughtful direction make it a truly memorable movie!","10","8","2"
"1768461327-12","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Haq must watch movie","In today's times of rising aggressive masculinity, haq movie presents a grim reminder to the society by highlighting the strength 1 muslim women displayed that changed the lives for so many to follow. A truly moving and inspiring story. Your struggles feel so small seeing the struggles shown in the movie. Everyone go watch it. Amazing story, amazing cast, amazing acting.","","4","1"
"1768461327-13","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Poor screen play , Well acted","The film screenplay is very poor and doesn't engage you, reason why the film didn't work at cinemas even though the Topic / subject was great.

The music was ZERO , unnecessary stretched to take time line further.

A mature sensible director was needed for the subject, as Superna ji hasn't had any cinema / film which we can say was amazing or can be rewatched even on Netflix. The location, look, makeup doesn't make you feel like you are in 70's, it was not detailed but rushed to complete the film.

However the only part which was amIng was Acting. All did fantastic and they were all great in their part.","6","4","2"
"1768461327-14","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","True story ruined by too much Drama","Based on a true story and centered on law and the court system, the film disappoints badly. Weak direction, excessive and forced family drama, and poor emotional buildup ruin the impact. Honestly, a 20-minute Dhruv Rathee video could explain this story better than this dragged 90-minute movie. Not worth the watch.","3","4","5"
"1768461327-15","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Outstanding at many levels","It was not about women rights or religious law, it was about the hazy boundaries between our identities and society pushing practices on us that benefits ""them"" rather than us individually. If you draw parallels to children rights, animal rights, lqbtq rights, labor laws, all vulnerable groups are at a disadvantage - the movie reminds that the society will always bend the laws or even install laws to protect the already powerful.","10","7","2"
"1768461327-16","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Nice direction","Yami gautam who portrayed character of Shazo bano, its nice concept based on true stories , what are the consequences of second marriage how it impact families, emran hashmi as usual suberb. Movie in 1980 backdrop it took me to those times, and well crafted movie without much drag. Songs are very pleasant.","8","6","2"
"1768461327-17","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Classic","This is a slow paced movie but an impactful one. An eye opener to the so called religious people who do not understand the actual meaning of what's written in their Bible, Quran or Gita. The simple things we can do is to just read and understand then to blindly follow any random individual. This movie teaches you many things and strongly watchable.","9","8","4"
"1768461327-18","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","superb movie","Haq (2025) delivers a powerful cinematic experience with its gripping story and heartfelt performances. The film explores justice and morality with intensity and sensitivity, keeping viewers emotionally invested throughout. The lead actor's performance stands out, blending passion with vulnerability, while the direction ensures every scene feels grounded yet impactful. The cinematography beautifully complements the narrative, and the music enhances the emotional depth without overshadowing the story. What makes Haq special is its bold message about truth and integrity, leaving the audience inspired and thoughtful. It is one of the most compelling films of the year.","10","5","2"
"1768461327-19","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Great story for the rights of women.","The movie was gripping and well explained. Hatsoff to the real life woman Shazia Bano, who fought all the odds especially in the days where women were ignored.

Overall the movie was good. There were good messages to the society too.

The movie was a little slow (not too slow).

On the whole, good job by the whole cast and crew.","7","3","2"
"1768461327-20","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Haq isn't propaganda - it's a wake-up call","After watching Haq, I was deeply moved. The film is not a propaganda piece, but a sincere attempt to awaken thought - to remind us that the very first word revealed in the Holy Qur'an is ""Read.""

It made me think: how many among us, who claim to fear Allah and follow the path of the Prophet (peace be upon him), truly read and understand this beautiful Book? Too often, we rely blindly on what certain clerics or preachers tell us, without questioning whether their interpretations are truly aligned with the Qur'an or with their own personal motives.

Islam is a faith of knowledge, reflection, and compassion. Yet over time, it pains me to see how its essence has been overshadowed by division and dogma - often by those within our own community who twist the message to serve their own narratives. Anyone who dares to question or seek understanding is quickly labelled as ""anti-Muslim"" or ""influenced by outsiders,"" instead of being encouraged to seek the truth themselves.

Haq reminded me of the story of Shah Bano - a real woman, a symbol of justice and courage - beautifully portrayed by Yami Gautam. I'm grateful to the filmmakers and artists who presented this story with honesty and depth.

To my fellow believers: let's return to the essence of Islam - to read, reflect, and understand, not just to follow blindly. The Qur'an was revealed as guidance for all humanity, not as a tool for control or fear.

May we all strive to rediscover the true beauty of our faith.","10","5","2"
"1768461327-21","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","I may be slightly biased (the brilliant associate director) Manya Mirchandani , happens to be my neice !) - but Haq completely had me.","Haq is one of those rare films that balances heart and craft with effortless grace. I watched it with a critical eye, ready to pick apart scenes to discuss with Manya - but truthfully, I couldn't find a single thing to critique.

Beautifully shot, elegantly told, and emotionally resonant - it feels like every frame was made with care. Yami Gautam delivers a stellar performance, both subtle and powerful, supported by an ensemble that fits perfectly into the film's mood and message.

A special salute to Director Suparn Verma, his storytelling feels mature, layered, and deeply human. Every emotion lands with quiet precision, and he brings out the best in both his cast and crew.

Cinematographer Pratham deserves high praise -: The lighting, framing, and visual rhythm are exceptional. The film's tone, dialogue, and design blend beautifully, creating something that feels both cinematic and intimate.

And yes, I might be a touch biased - Associate Director Manya Mirchandani, my neice , had a major hand in this creation , but Haq stands tall entirely on its own merit.

If films were graded, this one's straight A++. A warm, heartfelt watch I am going to rewatch .","10","5","2"
"1768461327-22","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Powerful Courtroom Drama About Rights and Justice!","Haq is a powerful courtroom drama about a woman fighting for her rights after being abandoned by her husband. Yami Gautam shines in a sensitive, emotionally charged performance, while the film thoughtfully explores justice, gender, and social issues. A must-watch for those who appreciate impactful, socially relevant stories.","7","2","2"
"1768461327-23","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Incredible, Beautiful, Must Watch!","What a great and beautifully made movie by the writers & directors etc. This is my first review on IMDB, I am a Pakistani and I am proud of the Indians making this movie and depicting the real image and beauty of Islam. The myth and lies our ancestors have spread of divorcing like ""talaq talaq talaq"" in few seconds was always against the teachings of Islam..The true Islam is in Quran, and I wish this movie gets all the recognition, applauses and a box office hit..","10","5","2"
"1768461327-24","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Powerful Movie with Powerful Performances","Well done movie on a sensitive subject based on real events that was handled with great maturity. The performances by the two leads, Yami Gautam and Emraan Hashmi, were award worthy and hopefully they get recognition Actually the whole supporting cast did a great job as well. Definitely worth a watch.","10","6","3"
"1768461327-25","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Excellent Movie.","Haq (2025), directed by Suparn Varma and inspired by the landmark Shah Bano case, is not just a film, it is an emotionally searing, intellectually robust, and impeccably executed piece of cinema that commands attention and demands discussion. It lives up to the promise of its title, asserting the fundamental right to dignity and justice with unwavering conviction.

The core of the film's immense power lies in the fabulous acting by Yami Gautam Dhar. As Shazia Bano, a woman fighting for her rights and dignity against a system rigged against her, Gautam delivers a career-defining performance. Her portrayal is a masterclass in controlled intensity, she is fiercely resolute yet heartbreakingly vulnerable. The quiet rage and unwavering strength she channels, particularly during the explosive courtroom monologues, is magnetic and undoubtedly award winning.

Matching her note for note is Emraan Hashmi, who sheds any semblance of conventional villainy to play the entitled and subtly terrifying lawyer, Abbas Khan. Hashmi's nuanced performance is equally award winning, portraying a man whose entitlement, not malice, turns him into a symbol of patriarchal resistance.

The ensemble cast, including the steady support from Sheeba Chaddha and Danish Husain, ensures that every character is grounded, making the legal and emotional conflict intensely real.

The best screenplay by Reshu Nath is the film's backbone. It handles the volatile subject of personal law, triple talaq, and gender justice with maturity, restraint, and exceptional clarity, avoiding preachy melodrama. The dialogues are sharp, authentic, and loaded with emotional weight, eliciting powerful reactions. What emerges is a definitely award winning movie experience that is cohesive, purposeful, and deeply moving.

Finally, the apt music and songs by Vishal Mishra serve the narrative perfectly. The score never overshadows the emotional gravity of the scenes but instead adds necessary texture and weight, ensuring the story's resonance lingers long after the credits roll.

Haq is a courageous, relevant, and flawlessly performed courtroom drama. It is essential viewing that reminds us that the fight for dignity is timeless.","10","7","4"
"1768461327-26","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Good Movie","Haq"" is a powerful courtroom drama that engages both the mind and the heart. Written by Reshu Nath and inspired by journalist Jigna Vora's book Bano: Bharat Ki Beti, the film presents its story with honesty and depth. It blends real-life events with creative storytelling in a balanced and believable way. ""Haq"" stands out as a fine example of meaningful and well-crafted cinema.","8","3","1"
"1768461327-27","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Highly Recommended 👍🏼","Haq is a worth watching for those who crave intelligent and emotionally resonant cinema. Haq delivers justice not just to its story, but to the power of good filmmaking. Written by Reshu Nath and inspired by journalist Jigna Vora's book Bano: Bharat Ki Beti, the film is a compelling courtroom drama that walks a fine line between reality and creative adaptation with surprising finesse.

The screenplay is the backbone of Haq. It is gripping, particularly in the investigative and emotional sequences. The writing is sharp, observant, and thoughtful, capturing not just the external battle that the protagonist faces, but also the internal turmoil that comes with being misjudged, misrepresented, and wronged by the system. However, there are instances where the pace falters. A few scenes in the mid-portion stretch a little longer than needed, slowing the narrative momentum briefly. Yet, the dialogues remain consistently powerful, pointed, evocative, and often the film's biggest strength.

Suparn S Varma's direction shines in its clarity & restraint, and it complements the writing superbly. His control over the tone of the film is commendable, it never slips into melodrama even when dealing with emotionally charged moments. The first half is particularly engaging, setting up the conflict, characters, and stakes with clarity and intrigue. The second half brings the courtroom into focus, and this is where Varma's direction shines. The arguments, confrontations, and emotional explosions are handled with precision.

Yami Gautam once again proves that she is in a remarkable phase of her career. After Article 370 (2024), she delivers another deeply immersive performance. As Shazia, she embodies vulnerability and strength in equal measure, commanding the screen with precision. Emraan Hashmi is equally compelling and delivers one of his most measured performances in recent years. Vartika Singh delivers a fair performance, fulfilling her role effectively, even if the character itself offers limited range. Danish Husain brings layered maturity. Sheeba Chadha is reliably impactful as always. Aseem Hattangady leaves a noticeable mark. Each supporting performance contributes to building the film's emotional and narrative tension.

Direction 3.5/5
Acting 3.5/5
Music 3/5
Dialogues 4/5
Screenplay 3.5/5.","7","2","2"
"1768461327-28","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Graceful, Grounded, and Glorious","This movie touched me in ways I didn't expect. It doesn't try to be cinematic in the grand sense; it's cinematic in its truth. Every scene feels handcrafted to express compassion, justice, and inner strength. Yami brings Shazia to life with such sincerity that it's impossible not to root for her. The soundtrack is gentle, almost invisible, but always there to guide emotion. By the end, I was teary-eyed, not because the film asked me to be, but because it felt so real.","10","3","1"
"1768461327-29","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Could have been much more impactful","Yami is the star of this....she deserves a lot more in her career. But in an industry where plastic Moses and semi naked uneducated women are worshipped, she's probably better off.

If this story wasn't inspired by True events, it would be just another tale of a woman fighting for her rights, which we have seen many times before to zero impact.

Bano's story need to told repeatedly in a society where even today, women play second fiddle to men. Our perception and prejudices haven't changed over the years.

It doesn't matter Hindu or Muslim, the movie is about a woman. An Indian woman.

Negatives - the background to a dhone songs are unpleasant and gives off a 70s vibe.

Some scenes get melodramatic. But what has to be appreciated is Yami. After a really long time seeing a Hindus film actress actually acting and who is immensely talented.

The story narrative is good. Direction is good, screenplay is hood. The rest of the cast with Yami all work together to pull this off. I think a pat on the back is well deserved for making this movie... It's a start.","7","1","1"
"1768461327-30","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Restraint That Redefines Power","What I loved most about Haq is how it redefines what power looks like. There are no grand speeches or fiery outbursts - just quiet determination. Yami Gautam carries this tone beautifully, using silence as her strongest weapon. The script lets her evolve naturally, never rushing her transformation. Emraan plays his role with sincerity, allowing moments of vulnerability to seep through his stern exterior. It's a reminder that sometimes the calmest voices change the world the most.","10","3","1"
"1768461327-31","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A good one-time watch","Haq serves up a courtroom brawl with politics on the side-messy, sharp, and just dramatic enough to hold your attention until the second half. The message lands in second half, delivered through two monologues by the leads. Both Emraan Hashmi and Yami Gautam deliver solid performances. The film neatly explains the idea of the Uniform Civil Code and offers a clear look at the other side of Triple Talaq. A good one-time watch.","6","1","4"
"1768461327-32","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Great work 👍","I didn't know it was shah-bano story
I went into blind and when i understood what it was i was in a surprise...

The court case itself was very realistic for bollywood standard...

Both the leads did very well the director utiliseed them to their potential... The cinematography impressed me with haunting soundtrack...

Loved the film.","10","4","2"
"1768461327-33","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Best movie in 2025","Hold the presses! Yami Gautam doesn't just act; she dominates the screen! This is arguably the best female performance we've seen this year.. she's officially the undisputed queen of modern Hindi film. Don't wait for streaming; this blockbuster experience demands the big screen. And speaking of legends, Emraan Hashmi's (our beloved Bollywood star) magnetic presence is simply unmatched. As the saying goes, ""akha Bollywood ek taraf, aap ek taraf"".. He executed his challenging role with effortless brilliance! A massive congratulations to the visionary director and the dedicated crew! Still can't get over Yami final scene performance!! Ufff.","10","4","2"
"1768461327-34","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","True Hindi cinema craftsmanship","I am glad that people from Hindu community has voiced out such a powerful story of the people from Muslim community and with at most respect and sensitivity, putting forward views of both the parties involved in this case. Brilliant acting by Yami Gautam and true feminist Emraan Hashmi, as he mentioned in one of the interviews as an actor his job is not just to play mr. Goody good to support a female story like, it's absolutely fair to play a negative role so that the story is told in all true essence and again Yami Gautam keep pleasing us with the unique storytelling.","10","4","2"
"1768461327-35","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Voice That Refuses to Be Ignored Haq gives voice to the kind of stories we often overlook -","Stories of ordinary people showing extraordinary courage. The writing feels honest, inspired by lived realities rather than headlines. Yami Gautam anchors the film with her poise and depth, commanding attention with stillness alone. Emraan Hashmi complements her with layered restraint. The film's power lies in its refusal to shout. It simply tells the truth, and that's enough to shake you.","10","3","2"
"1768461327-36","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","And the plot !!!","It was good to have this kind of movie in Bollywood, which backs by true events and real inspiration
Acting of both one is goat level, specifically Yami ji, the great acting
In first half movie kind of building a story and in second half battle in courtroom
Still it can be great if they use other characters better, kind feel old style
But still must watch.","7","0","1"
"1768461327-37","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Great buildup","This is an awesome story and an inspiration for a woman who can't fight against their will. Very clear with the spectacle towards the religious and maintaining a good stand. Must watch, and a great performance by the individual. Emraan, as usual, killed with his looks and acting must say he is the most adorable actor.","10","3","2"
"1768461327-38","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Strong performances elevate the movie","A good watch with strong performances from Emraan Hashmi and especially, Yami Gautam, who disappears into the role of Shazia Bano. Keep an eye out for Danish Husain, who plays Maulvi Basheer (Shazia's father) and a rock pillar of a figure in Shazia's life, delivering some of the high moments of the movie.","7","0","0"
"1768461327-39","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Must-Watch That Opens Your Eyes","Haq is not just a movie - it's an eye-opener. I truly loved how it explained our Constitution and the idea of the Uniform Civil Code (UCC) in such a simple yet powerful way. What touched me the most is how it cleared many misconceptions people have about the Quran and what it truly teaches about justice and equality. The film beautifully connects faith, law, and humanity - showing that all three can coexist with respect. It made me think deeply about what real equality means in our country. Truly a movie that deserves to be seen by everyone.

It encourages you to think and reflect on what equality and justice truly mean in a diverse country like ours. The performances, writing, and direction all come together to make this an important film that everyone should watch at least once.","8","3","2"
"1768461327-40","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Clear Message And Zero Jingoism","The movie unfolds a cinematic experience of the Shah Bano case. But as some points, it goes deep into religious preachings, but does not derail from its narrative, and those preachings do not overshadow the actual topic. At some point, it may seem loosely written, and did not match the emotional depth the scene requires. Yami might have given a performance of lifetime and Emraan is as charming as always.","7","0","1"
