web_scraper_order,web_scraper_start_url,Name,Title,Review,Star,Verified,Date
"1771222379-25","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Div","Amazing texture and great flavour","We recently tried Gooddot Keema and it was amazing. The texture is exactly like mutton keema and tastes best with malabar paratha. It was very easy to cook as it came with readymade spices mix. Love it! Must try!","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 25 November 2021"
"1771222379-26","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Placeholder","Yummy","This has to be the best flavour I’ve ever tasted with soya granules and it’s so easy to make ! Ordered again 👍🏼","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 15 September 2022"
"1771222379-27","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Shalya","The masala provided is the key.","It comes with a packet of masala and special spices along with a small measuring cup of 50 ml. Tastes almost like keema dish.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 30 May 2022"
"1771222379-28","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Somya khan","Good kit","Barry verry nice quality","4.0 out of 5 stars","Verified Purchase","Reviewed in India on 23 March 2022"
"1771222379-29","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Abhijeet Dutta","Way too spicy","Felt like soya chunks and very very spicy","2.0 out of 5 stars","Verified Purchase","Reviewed in India on 20 June 2022"
"1771222379-30","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Not worth it","Expensive product and moreover taste is also ok Ok....","2.0 out of 5 stars","Verified Purchase","Reviewed in India on 10 May 2022"
"1771222379-31","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nagendra J.","Very good alternative","Tastes very similar to non-veg keema and it's very healthy too. People who want to go for no cruelty food should try it.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 30 May 2022"
"1771222379-32","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","kanishka","Not what expected after watching add...","Nothing near ....mutton keema taste. Soya granuels keema with a normal brown gravy taste. Very costly for soya granuels in brown gravy.
Contains types of gluten added.
2Out of 10 ..
And very high aromatic gravy ( more stronger aroma then needed)","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 15 April 2022"
"1771222379-33","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sankhyadeep Dutta","Awesome product","This is simply awesome.
After an ages I got something so delicious.
It tastes like real mutton.
Waiting for little more discount for regular use.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 5 February 2022"
"1771222379-34","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Rakesh","Woody flavour","Cannot be a replacement for Kheema....","2.0 out of 5 stars","Verified Purchase","Reviewed in India on 16 May 2022"
"1771222379-35","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kumar Utsav","It’s a vegan delight","Tastes like mutton, looks like mutton, smells like mutton but isn’t mutton!
Can’t get a better deal anywhere else.
It’s a must buy guys","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 1 December 2021"
"1771222379-36","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Manoj.","Excellent experience","Full of flavour and really delicious. Product seems to have been made with a lot of thought and care. Very satisfying to consume.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 30 November 2021"
"1771222379-37","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sandip malvi","Real keema","Pretty close to real keema. The dish tastes meaty and seamlessly stands in for your favorite street-style keema pav","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 6 April 2022"
"1771222379-38","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Prateek","Worst product , Very dissatisfied 👎","They are fooling people in the name of keema . One of the worst keema I've ever tried , Don't try this if you are non-vegetarian , surely you'll regret this product👎","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 4 August 2022"
"1771222379-39","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","S S M","Didn't expected much . But it's really worth .","Taste superb and everything is perfect . Thanks for making such a great taste product.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 11 April 2022"
"1771222379-40","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Mainak Ghosh","Waste of money","If you are non-vegan buy Mutton. If you are vegan eat vegetables.. Don't waste your money buying this.. It doesn't taste like mutton.. Not at least 1%.","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 3 August 2022"
"1771222379-41","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Placeholder","Useless product","I didn't like the taste of this useless product..this is normal soya grenules that is hardly available in market at 20-30 rupees.. totally waste of money","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 4 September 2022"
"1771222379-42","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nikhil","Amazing product","Amazing taste and a wonderful alternative food. Perfect solution for the keema cravings","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 22 June 2022"
"1771222379-43","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Honey Gupta","Plant based meat","Awesome taste really great start.no one can differentiate between real meat and this plant based meat.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 23 January 2022"
"1771222379-44","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Himanshu","Not worth","It taste just like soyabean. Nothing special about this product. You can buy any soyabean chunks and use meat masala, believe me it will taste better than this product.","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 18 March 2022"
"1771222379-45","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Anjali Judh","Most waste products health khrb krta h stomach infection kr diya plz don't buy","Bekar flavour or bhut hi useless h yeh waste of money hum log social media pe dekh k mangvate h ki acha hoga but bhut bura seriously","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 18 May 2022"
"1771222379-46","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Placeholder","Tastes as promised","Tastes almost like keemat meat. Good product. A lower price is preferred.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 5 June 2022"
"1771222379-47","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kausalya K","Tastes like real mutton keema.","I added onions and some cashews to enhance the flavours.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 21 August 2022"
"1771222379-48","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sai Mahith Chigurupati","Waste of money","I recently turned vegan so tried this.
Forget about Non vegetarian foods. This doesn't even felt like i am eating some food and smells disgusting","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 17 June 2022"
"1771222379-49","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sneha","Gimmick product","I got sick next day after having this.
Don't go for all these gimmick items
Instead get soya granules and cook them with mutton masala","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 22 April 2022"
"1771222379-50","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","KC","Good taste 👌","Good taste 👌 above expectations","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 20 November 2022"
"1771222379-51","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Gaura C.","Amazing taste!","Tastes exactly like Keema! Couldn’t believe it.
A must try!","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 29 January 2022"
"1771222379-52","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","parijat pal","Absolutely love the Keema!","Perfect bend of spices and flavour.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 11 June 2022"
"1771222379-53","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Vishal C","Ekdum zhakaaaassss","Surprise with taste. Good product","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 13 July 2022"
"1771222379-54","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Shri","Yummy","Texture and taste very good. Loved it","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 10 April 2022"
"1771222379-55","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","harshad dantale","couldnt believe that this is vegan","Its a perfect profuct. just buy it. highly recomended","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 7 January 2022"
"1771222379-56","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Darshan Mohanty","It's mutton","Smells and tastes like mutton.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 24 May 2022"
"1771222379-57","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","kavya purohit","Authentic test","Good packaging and Good quality","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 21 March 2022"
"1771222379-58","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Great taste","Great taste if cooked well.","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 6 March 2022"
"1771222379-59","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","ch.madhu","Not good","Taste is not good. Iam a non-vegetarian and the flavour,taste and scent are not uptight mark.","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 5 August 2022"
"1771222379-60","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Placeholder","Good taste","Nice product","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 24 May 2022"
"1771222379-61","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Mahesh","Great Sunday Breakfast","Great flavour","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 4 June 2022"
"1771222379-62","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Arun","Tastes bad","Odour from this item is irritating; taste not at all close to what kheema tastes like. Disappointed with this purchase.","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 8 January 2022"
"1771222379-63","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Dinesh","Disappointed","I read reviews and ignored the bad one's. Waste of money. Insted buy ₹10 nutrela chunks taste better.","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 18 February 2022"
"1771222379-64","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Anshika kumari","I can't prefer this","This is very poor qualiylty.when I eat then I vomate . I can't efford this scent","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 13 April 2022"
"1771222379-65","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Samima rahaman","Just awesome..","Best keema","5.0 out of 5 stars","Verified Purchase","Reviewed in India on 8 January 2022"
"1771222379-66","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Pratap","Not good","Not recommend for non veg lovers it isvery bad taste especially who eat more spicy","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 17 March 2022"
"1771222379-67","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","aditya","too bad","bad flavor, bad smell, bad texture","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 29 March 2023"
"1771222379-68","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","nagarjuna","I have Booking 1 burji  and 1 keema kit seller has sending 2packs burji packs","","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 1 August 2023"
"1771222379-69","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Dr. bireswar saha","I didn't like it doesn't taste like mutton or meat.its totally artificial","Flavor doesn't taste like meat.","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 21 June 2022"
"1771222379-70","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","neelam pandya","दूर दूर तक मटन का कोई स्वाद नही था,सिर्फ सोयाबीन चंक का स्वाद आ रहा था। 🤮","वेस्ट ऑफ मनी।","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 26 September 2022"
"1771222379-71","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Rakshit Goyal","Pathetic taste","Worst taste ever","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 28 August 2022"
"1771222379-72","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Chittaranjan thakur","Don’t buy waste of money take 10 rs soya chunks and boiled it","Soya scam","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 14 July 2022"
"1771222379-73","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","srikanta kumar patra","High price low quality","Bad","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 19 August 2022"
"1771222379-74","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Swaraj Palekar","Worst to eat","Worst taste","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 3 July 2022"
"1771222379-75","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","8003010005","koe kam ka nhi hai","taste like hai shut","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 11 April 2022"
"1771222379-76","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","rajnikant/Harsha","Useless product","No taste. Waste of money","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 20 January 2022"
"1771222379-77","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Parag","Not good","Not good","1.0 out of 5 stars","Verified Purchase","Reviewed in India on 9 January 2022"
"1771222379-78","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nimit Singh","Turned Vegetarian a month back and this Unmutton Keema is my reward.","After eating nonvegetarian food all my life (once or twice every week), I turned vegetarian in March'22. Got to know about GoodDot just a few days back and decided to give it a try. I have ordered their Noodles, Vegicken kit and Proteiz along with Unmutton Keema kit.

For keema the preparation was super easy. I followed each step as mentioned on the pack. It literally tastes like Mutton. Only thing was that the aftertaste gave it away but a very good product nonetheless. I highly recommend it.","5.0 out of 5 stars","","Reviewed in India on 16 April 2022"
"1771222379-79","https://www.amazon.in/product-reviews/B09GH5H2N3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Dushyant yadav","Exactly lik keeeeema!","Amazing love it! Can't believe they matched the taste by just using plants!!! Finally a meat I can eat without the guilt of killing a being!","4.0 out of 5 stars","","Reviewed in India on 24 January 2022"
