web_scraper_order,web_scraper_start_url,Rate,Title,review,helpful,not helpful
"1773141764-11","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","2/10","Junk, trash of a story and bad editing","I just could not believe my eyes when i was 30 mins into this piece of trash. How many times was this story done in the 1989s in Hindi as well as South Indian movies? Why is it being repeated shamelessly in 2023? Just because it's SRK movie? Seriously? Then, another major concern is that if this is the future of Tamil-Hindi cinema collaboration, I am happy with watching selected Hindi movies only. Let me explain. Typically Tamil action movies with superstars(like Rajnikant) have each and every action scene either in slow motion or all the vehicles are running in 1.5 times to 2 times the speed, same for bikes! Doesn't stop there, it is exactly the same with dialogues, the last words of a sentence are not over and the editor keeps switching to the other person eith such a speed that even in delicate romantic scenes there is no delicacy. Till the end, it was like watching an anime movie with no respect for a cinema viewer's sensibility. No, this movie is an action movie you will say, but the rhythm of the action, dialigues and Editing is something that probably the Tamil audience is used to watching and I respect that fact. Just that the editing and rhythm is totally different from that of Hindi movies, and Hindi movie viewers are used to a certain rhythm of dialogues, movements, a certain gap between dialogues, etc etc. This Hindi movie directed by a Tamil director feels like you are watching a Tamil movie dubbed in Hindi, in each and every scene!! Throughout you get a feel you are not watching a Hindi movie at all, something is alien, something is missing. All the songs except for the end title one. Do not sound like Hindi movie songs either. If this is how the future of Tamil Hindi movies collaboration looks like, please give us a Hindi movie directed by a Hindi language understanding director only, please please!! This movie was a torture to watch. Hope you understand Hindi movie producers!! Thankyou!!","247","140"
"1773141764-12","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","Story action and acting","This film is 100% enjoyable, displaying SRK and Atlee's next-level work, as well as outstanding performances by Vijay Sethupathi and the whole ensemble.""

""Jawan"" is without a doubt one of the greatest films of the year! Not when you just want to be silent! Shah Rukh Khan demonstrates yet again why he is the KING!

Story: Keeps you interested throughout,
The entire theatre went insane. Despite being an action thriller, the film has a strong emotional core. It's unusual for a masala Indian film to write well-developed female characters.

Finally, ""Jawan"" is a must-see for action movie fans. You'll want to see more of this flick.","20","3"
"1773141764-13","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","","","","9","4"
"1773141764-14","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","6/10","Good Masala.. one time watch","","12","8"
"1773141764-15","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","9/10","Full on entertainment","The movie was entertaining with blend of a lot of drama, little comedy, some thrill, some suspense and a lot of action. The story was good with a good message in it, the screenplay was uneven but doesn't damages the story, the direction was good and the performances were also good. The BGM and the action scenes were great, you will love them. Also, the message the movie wanted to show was good and effective.

Some scenes were rushed and some things remained unexplained but the story is shown in such a grand way that these things will not bother you that much.

Overall, you should definitely give this movie a try.","58","16"
"1773141764-16","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","Few issues aside, this one's a great commercial flick!","So, I just came from my show of Jawan, and this was an exhilarating three hours, and I have tons to discuss.

Since all my theatre viewings have incorporated a different review format (detracting from my analytical perspective), I will make no exception here. I will put forth the positives and negatives like I did on all occasions.

Without further ado, let's begin and let me first start with what did I like.

Positives:-

Technicalities - I cannot stress enough how rich and gorgeous the film looks. Each and every shot was infused with fitting colours and contrast.

Shah Rukh Khan - We have never seen Shah Rukh Khan in such a massy avatar before. What Atlee Kumar had done with him here is exceptional, and Bollywood directors should take notes seriously. Kudos to SRK, too, as he had completely surrendered himself to the director, putting faith in his vision.

Emotional Core - Those who have seen Atlee's earlier works know how much importance he generally gives to the emotional aspects of his stories, and ""Jawan"" is nothing different. You will shed some tears.

Background Music - Anirudh had yet again shown his true worth. What a terrific composition. It had uplifted and exacerbated every sequence! It's one of his best, for sure.

Yeah, that's about it. Now, I am moving on to the things I did not like or had qualms about.

Negatives:-

Third Act and its mishaps - The concluding Act, or the last thirty minutes to be precise, came off as volatile and incoherent compared to the rest of the script. It seems like Atlee had made some last-minute changes or was in a great hurry to finish off the screenplay and, in doing so, ineluctably messed up the inherent flow of the narrative.

Tonal Misbalance - It might sound nitpicky, and maybe I'm doing just that, but embedding comedy in serious moments didn't come across as a wise call. It took away the intensity and made the situations less intimidating.

Lack of Material for the Supporting Cast - I knew the supporting actors would have little to do here, and my assumptions were proved correct. Nayanthara, Sunil Grover, The Six Girls: Although they did whatever was demanded of them, their characters leave a whole lot to be desired. There were opportunities to make them shine and come out of their shells, but Atlee didn't; it was deliberate from his end.

Now, it's time for those things I have mixed feelings on.

Mixed:-

Cameos / Guest Appearances - There are two special appearances in the movie (No, Thalapathy Vijay is not there if you are wondering); one from Deepika and the other one comes from a Veteran in the business (not going to name him though, you will see it for yourself).

Now, I absolutely adored Deepika here. She was given about twenty minutes of screen time, and she gave it all and made her part so impactful that you'll remember her after the film finishes. Sadly, I cannot say the same for the ""other"" cameo, which felt more like a last-minute touch-up or an input from the Producers' end rather than an indispensable part of Atlee's pre-planned vision.

Messaging - Each and Every message in the film bears significance and the topics they speak about need to be brought up in our day-to-day conversations. Having said that, I did not like the way those messages were delivered, especially towards the end when SRK breaks the fourth wall and speaks directly to the audience. It was fine at the beginning but became so preachy by the end!

To summarise my train of thought, I had a very good experience overall, and the community viewing aspect definitely played its part. Despite a couple of issues, I suggest everybody go and witness this spectacle of a feature on the biggest screen you could afford to go to. If you love SRK, it's a must-watch no-brainer; even if you do not consider yourself a fan, go for the exhilaration. Trust me, you won't have much to complain about.","9","6"
"1773141764-17","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","The Best movie Till nowwwwwww👑","","30","6"
"1773141764-18","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","Atlee version of Srk is Phenomenal.","Thank you so much Atlee for making this Action Rollercoaster which is full of emotions, tears and laughters.

Jawan is easily Srk's career best action movie, Direction wise Atlee is way better than all Bollywood directors. Especially in this genre.

Senior Srk's swag is unmatchable, Anirudh's BGM is extraordinary. All 6 girls acting was on point. Train sequence is too good but that is not the highlight of the movie there are 7-8 scenes where you can compete Jawan with action movies like The Matrix.

Nayantara is Gal Gadot of indian cinema, her few scenes are batter than many Bollywood actresses whole career yes she is that good.

Don't think twice experience this masterpiece in cinema asap.

Thanks Srk & Atlee for this experience. All records will be shattered.","19","20"
"1773141764-19","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","3/10","I don't think I watched the same movie everyone else did","","369","228"
"1773141764-20","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","No reason to not like the film- Good package film","Jawan is a story of social awareness about issues currently in our country. It is also a story of a Jawan who gets wronged in his own country then his son does all the things to give him father a Jawan a honor and respect that he deserves. Nice acting by the cast specially hero Shah Rukh Khan and villain Vijay Sethupathi. Nice acting by all the feamle leads, Deepka Padukone, Nayanthara, Sanya Malhotra, Ridhi Dgra. The Family man sereis season 1 most of the cast are in this movie. Vijay Sethupathi and other two female actors. Nice message around election and votes given in thiss flm. This film is about patriotism and will also make you emotional. This film is about romance at the same time it is about family and society issues. Nice movei with good package I would say of all the things I said above. Nice music, songs and dance. Challeya son and dance steps are huge hit. I recommend you to watch the story. You will find different looks of Shah Rukh KHan in the movie. And in all thes looks he has performed really well. I really had a nice time watching this movie. I recommend Jawan movie to you. I rate Jawan movie 10 stars on 10. You would not find a reason to not like thi movie. Last Shah RUkh KHan one looks is there where he smokes too much cigarette. That using too much cigarette could be avoided as this is aa family film, they should have thought that even small children are watching this film. They shouldnt be inspired.","34","8"
"1773141764-21","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","Typical south indian style","Just saw jawan out of love for srk and found it just like any other tamil n telugu style action entertainer.

I just don't understand why south directors have to shoot all actions scenes in slow-motion. Slow-mo action does not look gud infact it beats purpose of true pleasure of viewing action on large scene. South style action is boring to me.

SRK is simply srk, love him. Senior srk role was best. Deepika looked old and same crying lady as usual.

Vijay sethupathi acting looks repetitive, Vijay sethupathi is not versatile enough IMHO. In this movie I felt he was doing comedy in end while fighting with srk..i mean what... Atlee c'mon..

Generous 7/10. Movie makes must raise standard.","8","6"
"1773141764-22","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","Atlee Presents SRK at His Best, Brings The Best Commercial Entertainer of the Year !!!","","39","10"
"1773141764-23","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","6/10","Made my day! Engaging and thrilling!","It's actually a great movie which keeps you connected. Good thriller movie which actually shows the dark side of our planet. This movie has no connection with the incident or with how rescue operation is carried out,dont expect some sensible it is a typical bhai kind of movie where everything is possible and others are helpless because tiger is still alive,the only saving grace is the action. So when you go to watch Shahrukh khan movie you don't expect good acting or even a good script or a script at all. I don't really put my reviews but seriously they consider us as fools. These kind of movies are purely made to earn money, and now we should become smarter than them and not watch this.","13","14"
"1773141764-24","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","9/10","S R K G.O.A.T and that ""Old man Logan"" wow","Jawan is one of S. R. K. Best; Swades, Chak De India top. SRK's dedication and hardwork at this age is unbeatable. Young actors must learn from SRK how hardwork and dedication come as responsibility and accountability towards fan and audience. Atlee directed well. And the look, attitude and character SRK had as father ""Old Man Logan"" simply amazing. I am a Hugh J fan from Wolverine series. But I wouldn't mind if they ever cast SRK as Old Man Wolverine, no doubt he will do amazing. Female lead actor Nayanthara was great, she fits the character and brings female cop to a serious level. Deepika was ok, her acting in Pathan as lead female spy was a joke, in Jawan she was ok. There were plenty of strong female lead actors who could have brought Aishwarya's character to another world with strength, love, emotion ... watching Aishwarya was more like watching Deepika doing Deepika. That's where the movie gets 9/10. Imo first train hijack scene was so cool and great, next two operations were so so. They could've made next operation bigger than previous. Feels like they focused on the first operation so much, then they started celebrating.","36","9"
"1773141764-25","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","6/10","Basically A Tamil mass film starring SRK","Jawan may be shot mainly in Hindi, but it is a Tamil mass film in all its essence. Atlee is known for basically copying ideas from other famous movies and making them in his own style for his favourite star. Jawan is an amalgamation of many such movies, including his own films. But the core is the man against system idea which was popularized in this particular form by director Shankar and since then it has been embraced by South Indian movies. The first half had a few interesting stuff going on but it was kinda boring me. I've heard about how Atlee dismisses normal logic from how people talk about his films like Bigil which is even more apparent here. Knowing this and being an SRK fan, I was expecting stuff in the film that defies logic. Overall it didn't affect me too much but the first half had a lot of such things that continuously happened that made it hard to enjoy it. Not using logic to be entertained is fine but the film has too much story in it and most of it doesn't have any logic. It's following too many formula-driven story ideas at once without properly integrating them. But once the interval block action sequence started the movie turned around for me. From there onwards it was a very entertaining movie and if you can watch it with a great audience it will be a great experience.

But it is to be noted that, there's so much story here, but no real characters. The characters are not at all written with depth but everyone is given certain visual flairs to make it very appealing. Nayanthara's character felt so weak but the way she is presented visually through the action scenes kind of makes you forget that.

Some dialogues and scenes kind of felt like a personal message from SRK which seamlessly blends with this kind of film. Maybe that's why he wanted to do such a south-style film.

All in all, I thought it was an average to okay film because I am an SRK fan and enjoyed watching his action scenes and song sequences in the theatre.

If Die Hard is a Christmas movie, this is an Onam movie 😇","15","19"
"1773141764-26","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","Title: A powerful and entertaining tribute to our unsung heroes!","","24","5"
"1773141764-27","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","Cool entertainer with a great message!","The movie is made as an action-packed mass-masala entertainer to capture the interest of all movie-goers in India and I believe that the movie will achieve that due to the high relevance in today's political ecosystem. The movie isn't preachy but delivers some solid food for thought.

The Action sequences are very well made with SRK's physique put to the test ( or I don't know if it's stunt doubles 😂 ), which was the highlight of the movie. Each sequence makes you cheer for SRK and that's done effortlessly! Nayantara really surprised me with her action sequences and she had good chemistry with SRK too.

Cinematography was peak and beautiful to watch in theatre and the person who did that, did his job really well!

Plot was mediocre though with Atlee combining sequences, stories and shots of his previous movies like Mersal and his usual formula making the lead actor play father and son with a predictable revenge story.

Anirudh's music for the movie didn't feel impactful but his background scores were superb which elevated the gravitas of SRK in action sequences!

Overall, it's a great watch in theatres and it's a solid popcorn movie!","6","6"
"1773141764-28","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","1/10","The worst Bollywood movie I've seen in recent years.","","96","65"
"1773141764-29","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","9/10","Extraordinary entertainment that was personal!","Tone, Script & Story: The movie is an action thriller with intense and engaging story. The story is about how the truth of major Vikram is bought in front of the world. The villain is a rich business tycoon who plays by evil terms. One could totally relate with it and thus the viewing experience goes to another level for oneself. Thanks to writers & additionally director to present this masterpiece. The viewing experience was so intense that it bought tears to my eyes on more than one occasion.

Direction, Screenplay, Cinematography: I am not that great fan of action but here action along with storyline got me jumping in my seat. The metro, the jail, the partners, the chase, the villain with all its evil was a dish served with essense.

Music: Music was average. My favorite track took place in jail when the son was born (Aararaari raaro). It went so well with storyline.

Acting: Everybody acted well, but the screen presence and delivery of Father was just another level. SRK looked like a hunk. He aced.

Final Verdict: For me it was as if the movie was made particularly for my entertainment. I enjoyed it.","46","14"
"1773141764-30","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","6/10","Grand to Meh...","Grand Opening, Good 1st Half, Average 2nd Half, Meh Climax

Plus: SRK's Dual Role, BGM, Action, Screenplay

Minus: Cliche Story & Dialogue, Songs, Length, Vijay as Villain

Summary:

Good entry by Atlee into Bollywood. Typically seen mass scenes in south Indian movies has been very well put together here. SRK's dual role has been very well shot. Action scenes were very well choreographed.

Nice debut for Nayanthara. Excellent cameo by Deepika. Decent one by Sanjay Dutt.

Having seen Vijay in Vikram Vedha and Master as a Villain, debut in Bollywood was below par.

SRK carries off for most part, witty scenes are not so witty anymore.

Musical by Anirudh didn't have the spark, BGM was great, songs looked like being dubbed from Tamil.

Overall the plusses overcomes the minuses, could be a 7*, but lingering on 6*, worth watching at the theater for the plusses.","4","3"
"1773141764-31","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","1/10","60's Manoj Kumar movies were better","","132","95"
"1773141764-32","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","Jawan Is The Best Movie Of All Time Must Watch In Theatres For Amazing Experience","Jawan is one of the best movie of King Khan for me. It must be the biggest hit of Atlee.

Character - Most of the character picked up by Family man web series. Including Priyamani, Mehek, Vijay Sethupathi (Farzi) and Muthu (A Tehsildar),

Sunil Grover - As per my understanding one of the biggest role that he has received in his career As Irani. What a look, the beard, dressing, shoes, dialogue delivery, action done by Sunil Bhai is outstanding. I love him so much.

Priyamani - Priyamani was again done amazing Dance with Shahrukh Khan. First was there in Chennai Express (1234). She must be fortunate by sharing a screen with King Khan. Her physic, voice, dance, and this time totally in action mode with rifle. It was a mind-blowing performance.

Vijay Sethupathi - When I was watching his performance, I went to few 90's film and i remember the dashing role of my favourite Danny Denzongpa. The dialogue delivery, action, looks, expressions, timing was speechless and specially his South Hindi accent was Fabulous. Big fan.

Sanya Malhotra - She was excellent performer in Jawan. Starting from her first scene in the metro. She has done amazing role as doctor and a team player of Vikram Rathore Team. She has also shown multiple types of action. I guess first time action and come out of comedy role, romantic movies etc.

Music - Obviously, the Music director is from Chennai (South). Hence it is expected that whole movie will have south Indian music tadka. Which was ultimate. Loved it. Even the background score is also out of box. The intro music for Kali is Outstanding. No doubt, the intro music for Vikram and Azad as well great.

Dance - Very simple simple steps was added in all songs. Which was awesome. Always shot on Joseph Vijay's songs. Loved it.

Songs - Awesome song writing. Even as usual so many background dancers have seen, especially in the Zinda banda song.

Direction and writing - No doubt. It is fabulous. Even the screenplay was also great and commendable. The farmer scene very well written. The duplicate rifle scene could have been better. Imagine the scene where sealing of the company done by common people. The ungli scene and the message that Vikram Rathore has given all of us as a Common people. Very well written and shoot. The health dept scene was amazing.","31","8"
"1773141764-33","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","Great film with some major flaws...","The film has major plot issues in the second half however remains a solid entertainer throughout due to its well choreographed action and excellent cinematography.

The problem with Jawan is that in the second half the story is sacrificed in favour of 'massy' moments and the movie ultimately suffers due to this. The conclusion did not feel satisfying and the cameo appearance felt pointless.

Without spoiling anything in the second half, a character is introduced who states that there will be consequences if the antagonist fails. This character is not seen again and a major plot detail is skipped.

The soundtrack of this film and the song chaleya are very good. Unfortunately all other songs in the movie are absolutely crap and not worth a second listen. There are people out there who will blindly fanboy over anything and are rating these songs highly however they DO NOT compare to other SRK film albums like Dilwale.

This is an entertaining movie that highlights key issues the working class population face. The political messaging in this film is very strong however the difference between a good film and a great film is longevity. How it holds up against the test of time.

Unfortunately storytelling sacrifices are made in favour of subliminal political messaging resulting in an uneven film.

7/10.","4","4"
